>nbody.exe 3000 0.01 < testInput1.in > o10k.out
...
On Step 2413/3000 - Time Spent: 11972.3
On Step 2415/3000 - Time Spent: 11982.2
On Step 2417/3000 - Time Spent: 11992.1
On Step 2419/3000 - Time Spent: 12002
On Step 2421/3000 - Time Spent: 12012
On Step 2423/3000 - Time Spent: 12021.9
On Step 2425/3000 - Time Spent: 12031.8
On Step 2427/3000 - Time Spent: 12041.7
On Step 2429/3000 - Time Spent: 12051.7
On Step 2431/3000 - Time Spent: 12061.6
On Step 2433/3000 - Time Spent: 12071.5
On Step 2435/3000 - Time Spent: 12081.4
On Step 2437/3000 - Time Spent: 12091.4
On Step 2439/3000 - Time Spent: 12101.3
On Step 2441/3000 - Time Spent: 12111.2
On Step 2443/3000 - Time Spent: 12121.1
On Step 2445/3000 - Time Spent: 12131.1
On Step 2447/3000 - Time Spent: 12141
On Step 2449/3000 - Time Spent: 12150.9
On Step 2451/3000 - Time Spent: 12160.8
On Step 2453/3000 - Time Spent: 12170.8
On Step 2455/3000 - Time Spent: 12180.7
On Step 2457/3000 - Time Spent: 12190.6
On Step 2459/3000 - Time Spent: 12200.6
On Step 2461/3000 - Time Spent: 12210.5
On Step 2463/3000 - Time Spent: 12220.4
On Step 2465/3000 - Time Spent: 12230.3
On Step 2467/3000 - Time Spent: 12240.3
On Step 2469/3000 - Time Spent: 12250.2
On Step 2471/3000 - Time Spent: 12260.1
On Step 2473/3000 - Time Spent: 12270
On Step 2475/3000 - Time Spent: 12280
On Step 2477/3000 - Time Spent: 12289.9
On Step 2479/3000 - Time Spent: 12299.8
On Step 2481/3000 - Time Spent: 12309.7
On Step 2483/3000 - Time Spent: 12319.7
On Step 2485/3000 - Time Spent: 12329.6
On Step 2487/3000 - Time Spent: 12339.5
On Step 2489/3000 - Time Spent: 12349.5
On Step 2491/3000 - Time Spent: 12359.4
On Step 2493/3000 - Time Spent: 12369.3
On Step 2495/3000 - Time Spent: 12379.3
On Step 2497/3000 - Time Spent: 12389.2
On Step 2499/3000 - Time Spent: 12399.1
On Step 2501/3000 - Time Spent: 12409
On Step 2503/3000 - Time Spent: 12419
On Step 2505/3000 - Time Spent: 12428.9
On Step 2507/3000 - Time Spent: 12438.8
On Step 2509/3000 - Time Spent: 12448.7
On Step 2511/3000 - Time Spent: 12458.7
On Step 2513/3000 - Time Spent: 12468.6
On Step 2515/3000 - Time Spent: 12478.5
On Step 2517/3000 - Time Spent: 12488.5
On Step 2519/3000 - Time Spent: 12498.4
On Step 2521/3000 - Time Spent: 12508.3
On Step 2523/3000 - Time Spent: 12518.2
On Step 2525/3000 - Time Spent: 12528.1
On Step 2527/3000 - Time Spent: 12538.1
On Step 2529/3000 - Time Spent: 12548
On Step 2531/3000 - Time Spent: 12557.9
On Step 2533/3000 - Time Spent: 12567.9
On Step 2535/3000 - Time Spent: 12577.8
On Step 2537/3000 - Time Spent: 12587.7
On Step 2539/3000 - Time Spent: 12597.6
On Step 2541/3000 - Time Spent: 12607.6
On Step 2543/3000 - Time Spent: 12617.5
On Step 2545/3000 - Time Spent: 12627.4
On Step 2547/3000 - Time Spent: 12637.4
On Step 2549/3000 - Time Spent: 12647.3
